,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_nl_all,a_eur_al,a_neu_al,a_geb_nl,a_geb_eu,a_geb_ne,a_gbl_eu,a_gbl_ne,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,paid_parking,predicted_paid_parking
144,BU04793110,4793110,Oud Koog,Zaanstad,Buurt,BU04793110,3,4910,2485,2430,735,580,1435,1340,825,2690,1605,425,195,3265,585,1060,3270,190,505,395,560,,,,,2390,980,585,830,"2,1",6019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,1685,325,"0,8",2461.0,265,,,,,,97,82,15,1541,1,2,2216,False,True
145,BU04793212,4793212,Westerkoog Midden,Zaanstad,Buurt,BU04793212,3,2630,1305,1320,350,300,540,685,750,1165,1145,190,135,2050,200,385,2050,105,200,90,180,,,,,1120,330,380,415,"2,3",6131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,985,215,"1,1",2791.0,90,,,,,,49,43,6,1541,1,3,1491,False,False
146,BU04793213,4793213,Westerkoog Oost,Zaanstad,Buurt,BU04793213,3,3710,1755,1960,525,335,685,905,1265,1465,1735,250,265,2855,300,555,2860,145,275,155,280,,,,,1665,495,605,560,"2,2",4356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,1405,285,1,1983.0,120,,,,,,90,85,5,1541,1,2,2154,False,True
147,BU04794110,4794110,Oud Zaandijk,Zaanstad,Buurt,BU04794110,3,2985,1555,1425,395,280,785,920,600,1555,945,370,115,2105,290,590,2105,100,240,190,350,,,,,1585,775,380,430,"1,9",5675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1125,175,"0,8",2468.0,185,,,,,,71,53,19,1544,1,3,1448,False,False
148,BU04794211,4794211,Rooswijk,Zaanstad,Buurt,BU04794211,3,2510,1185,1320,440,300,550,640,570,1180,925,270,125,1510,175,820,1510,80,375,95,445,,,,,1105,350,295,455,"2,3",6238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,890,150,"0,9",2586.0,95,,,,,,44,40,4,1544,1,3,1389,False,False
149,BU04794212,4794212,Rooswijk Noord,Zaanstad,Buurt,BU04794212,3,3025,1485,1535,340,375,550,1080,680,1260,1360,230,175,2390,140,500,2390,70,260,65,235,,,,,1220,300,415,505,"2,4",8019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1155,250,"1,2",3733.0,105,,,,,,42,38,4,1544,1,3,1255,False,False
150,BU04794213,4794213,Guisveld Zuid,Zaanstad,Buurt,BU04794213,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,,,,,0,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,56,40,16,1544,1,3,1154,False,False
151,BU04795110,4795110,Wormerveer Zuid,Zaanstad,Buurt,BU04795110,3,3815,1940,1875,495,385,1150,1055,725,2015,1255,390,155,2665,430,720,2670,150,350,280,375,,,,,1915,840,550,530,"1,9",6682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255,2880,1375,"2,2",7447.0,230,,,,,,69,57,11,1521,1,3,1484,False,True
152,BU04795120,4795120,Guisveld,Zaanstad,Buurt,BU04795120,3,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,216,168,48,1521,1,3,1386,False,False
153,BU04795131,4795131,Wormerveer Centrum,Zaanstad,Buurt,BU04795131,3,3420,1665,1755,465,375,930,945,705,1710,1210,325,175,2410,360,650,2410,145,355,210,295,,,,,1680,705,455,520,2,6138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,1325,240,"0,9",2803.0,165,,,,,,61,56,6,1521,1,2,1854,False,True
